id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,rating,bedrooms,beds,baths
52128553,Rental unit in Brooklyn,37787619,Trey,Brooklyn,Bedford-Stuyvesant,40.67934,-73.92166,Private room,77.0,1,92,4.93,1,1,1
45132366,Rental unit in New York,114851446,Julie,Manhattan,Upper East Side,40.7704,-73.95975,Entire home/apt,145.0,30,4,4.50,1,1,1
1039984,Rental unit in Brooklyn,5447617,Jeffrey,Brooklyn,Bedford-Stuyvesant,40.68089,-73.93557,Entire home/apt,110.0,30,60,4.78,2,4,1
53542590,Rental unit in Brooklyn,13887067,Joe,Brooklyn,Bedford-Stuyvesant,40.68072,-73.93035,Entire home/apt,400.0,30,9,5.0,2,2,1.5
33907731,Rental unit in Brooklyn,53621,Monica,Brooklyn,Bedford-Stuyvesant,40.69111,-73.93495,Entire home/apt,120.0,31,27,4.56,1,1,1
38624988,Rental unit in New York,278925199,Paradise Suites,Manhattan,Upper East Side,40.76106,-73.95926,Entire home/apt,130.0,30,7,5.0,2,2,1
53605090,Rental unit in Brooklyn,329271,Nyoh,Brooklyn,Bedford-Stuyvesant,40.687232600932894,-73.9291714270409,Private room,70.0,30,22,4.14,1,1,1.5
878332173770248531,Hotel in New York,176950173,Aka,Manhattan,Midtown,40.76408526165674,-73.97450845226469,Private room,325.0,7,4,5.0,1,1,1
52399609,Home in Brooklyn,923465,Kila,Brooklyn,Bedford-Stuyvesant,40.68844,-73.93717,Entire home/apt,296.0,30,19,5.0,2,2,2
797663637249431951,Rental unit in Brooklyn,401709949,Daniela & James,Brooklyn,Bushwick,40.69975786992391,-73.93875172999415,Private room,59.0,30,1,No rating,1,1,1
45383580,Rental unit in New York,6857752,Michael,Manhattan,West Village,40.73294,-74.00555,Entire home/apt,260.0,30,1,No rating,1,1,1
51791962,Rental unit in Brooklyn,401709949,Daniela & James,Brooklyn,Bushwick,40.69994,-73.94044,Private room,60.0,30,8,4.63,1,1,2
8313370,Rental unit in New York,3473097,Sara,Manhattan,Upper East Side,40.78094,-73.95285,Entire home/apt,250.0,360,2,No rating,1,1,1
43604573,Rental unit in New York,4440389,Zack,Manhattan,Chelsea,40.7448,-74.00237,Entire home/apt,250.0,30,52,4.94,1,1,1
608671468736291174,Rental unit in Brooklyn,246928,Simone,Brooklyn,Bushwick,40.70065,-73.92422,Entire home/apt,127.0,31,3,5.0,2,2,1
23877781,Rental unit in Brooklyn,8610441,Bernadette,Brooklyn,Carroll Gardens,40.6782,-73.99627,Entire home/apt,176.0,30,129,4.99,1,3,1.5
50285340,Rental unit in Brooklyn,138373960,K&L,Brooklyn,Prospect-Lefferts Gardens,40.65643,-73.95362,Entire home/apt,90.0,30,93,4.47,2,3,1
53167175,Rental unit in New York,24641078,Joshua,Manhattan,Upper East Side,40.77688,-73.96108,Entire home/apt,10.0,30,8,5.0,1,1,1
34358402,Rental unit in Brooklyn,511753971,Michael,Brooklyn,Boerum Hill,40.68687,-73.98706,Entire home/apt,220.0,30,187,4.97,Studio,2,1
33989681,Loft in Brooklyn,235329443,Sophie,Brooklyn,Boerum Hill,40.68567,-73.98336,Entire home/apt,195.0,30,249,4.86,1,1,1
